
Starting Nmap 7.60 ( https://nmap.org ) at 2018-08-14 13:35 CST
NSE: Loaded 1 scripts for scanning.
NSE: Script Pre-scanning.
NSE: Starting runlevel 1 (of 1) scan.
Discovered open port 21/tcp on 101.81.55.94[上海市 电信]
Discovered open port 21/tcp on 101.81.106.95[上海市 电信]
Discovered open port 21/tcp on 101.81.169.95[上海市 电信]
Discovered open port 21/tcp on 101.81.238.95[上海市 电信]
Discovered open port 21/tcp on 101.81.114.96[上海市 电信]
Discovered open port 21/tcp on 101.81.66.96[上海市 电信]
Discovered open port 21/tcp on 101.81.181.96[上海市 电信]
Discovered open port 21/tcp on 101.81.204.96[上海市 电信]
Discovered open port 21/tcp on 101.81.88.97[上海市 电信]
Discovered open port 21/tcp on 101.81.218.98[上海市 电信]
Discovered open port 21/tcp on 101.81.253.98[上海市 电信]
Discovered open port 21/tcp on 101.81.53.99[上海市 电信]
Discovered open port 21/tcp on 101.81.115.99[上海市 电信]
Discovered open port 21/tcp on 101.81.9.100[上海市 电信]
Discovered open port 21/tcp on 101.81.140.100[上海市 电信]
Discovered open port 21/tcp on 101.81.142.100[上海市 电信]
Discovered open port 21/tcp on 101.81.208.101[上海市 电信]
Discovered open port 21/tcp on 101.81.54.102[上海市 电信]
Discovered open port 21/tcp on 101.81.49.103[上海市 电信]
Discovered open port 21/tcp on 101.81.167.103[上海市 电信]
Discovered open port 21/tcp on 101.81.90.104[上海市 电信]
Discovered open port 21/tcp on 101.81.234.104[上海市 电信]
Discovered open port 21/tcp on 101.81.155.105[上海市 电信]
Discovered open port 21/tcp on 101.81.127.107[上海市 电信]
Discovered open port 21/tcp on 101.81.217.107[上海市 电信]
Discovered open port 21/tcp on 101.81.11.108[上海市 电信]
Discovered open port 21/tcp on 101.81.236.108[上海市 电信]
Discovered open port 21/tcp on 101.81.250.113[上海市 电信]
Discovered open port 21/tcp on 101.81.50.114[上海市 电信]
Discovered open port 21/tcp on 101.81.101.114[上海市 电信]
Discovered open port 21/tcp on 101.81.148.117[上海市 电信]
Discovered open port 21/tcp on 101.81.217.117[上海市 电信]
Discovered open port 21/tcp on 101.81.185.115[上海市 电信]
Discovered open port 21/tcp on 101.81.221.117[上海市 电信]
Discovered open port 21/tcp on 101.81.254.118[上海市 电信]
Discovered open port 21/tcp on 101.81.133.119[上海市 电信]
Discovered open port 21/tcp on 101.81.110.119[上海市 电信]
Discovered open port 21/tcp on 101.81.80.120[上海市 电信]
Discovered open port 21/tcp on 101.81.118.121[上海市 电信]
Discovered open port 21/tcp on 101.81.203.121[上海市 电信]
